Datum;Tag;Monat;Stunde;Verbrauch
27.01. 09:00;27;01;09;0,087237
27.01. 10:00;27;01;10;0,13172
27.01. 11:00;27;01;11;0,1484
27.01. 12:00;27;01;12;0,14677
27.01. 13:00;27;01;13;0,1502
27.01. 14:00;27;01;14;0,15527
27.01. 15:00;27;01;15;0,14902
27.01. 16:00;27;01;16;0,15456
27.01. 17:00;27;01;17;0,17776
27.01. 18:00;27;01;18;0,19336
27.01. 19:00;27;01;19;0,20043
27.01. 20:00;27;01;20;0,19762
27.01. 21:00;27;01;21;0,17239
27.01. 22:00;27;01;22;0,11673
27.01. 23:00;27;01;23;0,075125
28.01. 00:00;28;01;00;0,063716
28.01. 01:00;28;01;01;0,039619
28.01. 02:00;28;01;02;0,033074
28.01. 03:00;28;01;03;0,031595
28.01. 04:00;28;01;04;0,031444
28.01. 05:00;28;01;05;0,028511
28.01. 06:00;28;01;06;0,062813
28.01. 07:00;28;01;07;0,082071
28.01. 08:00;28;01;08;0,088641
28.01. 09:00;28;01;09;0,11966
28.01. 10:00;28;01;10;0,16066
28.01. 11:00;28;01;11;0,16958
28.01. 12:00;28;01;12;0,15742
28.01. 13:00;28;01;13;0,15386
28.01. 14:00;28;01;14;0,15973
28.01. 15:00;28;01;15;0,18393
28.01. 16:00;28;01;16;0,20344
28.01. 17:00;28;01;17;0,23287
28.01. 18:00;28;01;18;0,25103
28.01. 19:00;28;01;19;0,24754
28.01. 20:00;28;01;20;0,2418
28.01. 21:00;28;01;21;0,21249
28.01. 22:00;28;01;22;0,15807
28.01. 23:00;28;01;23;0,10544
29.01. 00:00;29;01;00;0,063716
29.01. 01:00;29;01;01;0,039619
29.01. 02:00;29;01;02;0,033074
29.01. 03:00;29;01;03;0,031595
29.01. 04:00;29;01;04;0,031444
29.01. 05:00;29;01;05;0,028511
29.01. 06:00;29;01;06;0,062813
29.01. 07:00;29;01;07;0,082071
29.01. 08:00;29;01;08;0,088641
29.01. 09:00;29;01;09;0,11966
29.01. 10:00;29;01;10;0,16066
29.01. 11:00;29;01;11;0,16958
29.01. 12:00;29;01;12;0,15742
29.01. 13:00;29;01;13;0,15386
29.01. 14:00;29;01;14;0,15973
29.01. 15:00;29;01;15;0,18393
29.01. 16:00;29;01;16;0,20344
29.01. 17:00;29;01;17;0,23287
29.01. 18:00;29;01;18;0,25103
29.01. 19:00;29;01;19;0,24754
